,Date.of.Finan..cial.Period.Before.Offer,Issue.Date,Issuer,Business.Description,Nation,Ticker.Symbol,Principal.Amount....mil.,Proceeds,Offer.Price,Type.of.Security,IPO.Flag..Y.N.,Notable.VC,Investment.Bank..Lead.Left.,Additional.Lead.Underwriters,Total.VC.Funding.Raised,Age.of.Firm,Total.Revenues.in.Previous.Year,Total.Revenues.Last.Reported,Selling.and.Marketing,Total.Operating.Expenses,Net.Income,Net.Income.Margin,Long.Term.Debt,Total.Assets,Long.Term.Debt.to.Total.Asset.Ratio,market_performance,VIX_before,OneDayChange,FirstDayClose
11,12/31/09,3/15/10,Financial Engines Inc,Pvd invest mgmt svcs,United States,FNGN,127.20,127.20,12.00,Common Shares,Yes,"Amerindo Investment Advisors Inc
Foundation Capital LLC
HLM Management Co LLC
CROPS Inc (Pre-Reincorporation)
New Enterprise Associates Inc
Undisclosed Firm
Oak Investment Partners
Undisclosed Firm
Amerindo Investment Advisors Inc
Foundation Capital LLC
Chase Manhattan Capital Corp
Arrowpath Venture Capital
Goldman Sachs & Co LLC
Merrill Lynch Capital Partners  Inc
Wells Fargo Capital Markets Inc
New Enterprise Associates Inc
Undisclosed Firm
Undisclosed Firm
Oak Hill Capital Management LLC
New Enterprise Associates Inc
Foundation Capital LLC
New Enterprise Associates Inc
Thales Corporate Ventures SAS
Charter Venture Capital
PIVOTAL ASSET MANAGEMENT L L C
Undisclosed Firm
CROPS Inc (Pre-Reincorporation)
American International Group Inc
Pliant Corp
Intel Capital Corp
Tailwind Capital Group LLC
Oak Hill Capital Management LLC
Hellman & Friedman LLC
Thales Corporate Ventures SAS
Financial Technology Ventures
New Enterprise Associates Inc
Foundation Capital LLC
Charter Venture Capital
New Enterprise Associates Inc
New Enterprise Associates Inc
Undisclosed Firm
Undisclosed Firm
Charter Venture Capital
Financial Technology Ventures
Foundation Capital LLC
Goldman Sachs & Co LLC",Goldman Sachs,1,139600.00,NA,71.271,85,22.52,78.2,5.69,0.066941176,8.06,58.40,13.80%,0.052396575,18,0.4375,17.25
12,12/31/09,3/23/10,MaxLinear Inc,Pvd semiconductor solutions,United States,MXL,90.22,90.20,14.00,Common Shares,Yes,"Undisclosed Firm
U.S. Venture Partners
U.S. Venture Partners
Mission Ventures Inc",Morgan Stanley,1,33000.00,NA,9.696,31.33,NA,20.67,-1.91,-0.060963932,0.27,99.00,0.27%,0.056225259,16.35,0.307142857,18.3
13,12/31/09,3/24/10,Calix Inc,Pvd broadband commun svcs,United States,CALX,82.28,82.30,13.00,Common Shares,Yes,"Foundation Capital LLC
Credit Suisse Group AG
Undisclosed Firm
Riverwood Capital Group LLC
Menlo Ventures
TeleSoft Partners
Foundation Capital LLC
Contrarian Capital Management LLC
Integral Capital Partners
Menlo Ventures
Riverwood Capital Group LLC
Kinetic Ventures LLC
Sprout Group
St Paul Venture Capital Inc
Azure Capital Partners, L.P.
Technoplus Ventures Ltd
TeleSoft Partners
Kinetic Ventures LLC
Kinetic Ventures LLC
Redpoint Ventures
Redpoint Ventures
Redpoint Ventures
TeleSoft Partners
Meritech Capital Partners
Redpoint Ventures
Redpoint Ventures
Redpoint Ventures
TeleSoft Partners
Contrarian Capital Management LLC
Azure Capital Partners, L.P.
Azure Capital Partners, L.P.
Meritech Capital Partners
Meritech Capital Partners
Meritech Capital Partners",Goldman Sachs,3,272505.80,NA,193.819,250.46,31.63,91.97,-12.92,-0.051585083,21,767.10,2.74%,0.051097443,17.549999,0.096153846,14.25
14,3/31/10,5/13/10,TeleNav Inc,"Mnfr search,detection equip",United States,TNAV,56.00,56.00,8.00,Common Shares,Yes,"Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Sycamore Ventures Inc
iGlobe Partners Ltd
Lehman Brothers Venture Partners LP
Menlo Ventures
Sycamore Ventures Inc
iGlobe Partners Ltd",JP Morgan,1,37999.00,NA,48.065,110.88,16.54,48.34,29.62,0.267135642,0,110.10,0.00%,-0.03204543,26.68,0.15,9.2
15,3/31/10,5/19/10,ReachLocal Inc,Pvd online marketing services,United States,RLOC,54.17,54.20,13.00,Common Shares,Yes,"Galleon Group
Global Founders Capital Management GmbH
Global Founders Capital Management GmbH
Rho Capital Partners Inc
Rho Capital Partners Inc
Vantagepoint Management Inc
Vantagepoint Management Inc
Undisclosed Firm
Rho Capital Partners Inc
Vantagepoint Management Inc
Vantagepoint Management Inc
Undisclosed Firm",JP Morgan,1,77718.10,NA,68.356,146.69,61.05,76.12,-7,-0.047719681,0,101.50,0.00%,-0.067189685,35.32,0,13
16,3/31/10,6/16/10,BroadSoft Inc,Dvlp telecommun software,United States,BSFT,67.50,67.50,9.00,Common Shares,Yes,"Charles River Ventures LLC
Crescendo Venture Management LLP
Charles River Ventures LLC
Bessemer Venture Partners
Undisclosed Firm
Rre Ventures LLC
Grotech Ventures
Columbia Capital LP
Undisclosed Firm
Meritech Capital Partners
Charles River Ventures LLC
Bessemer Venture Partners
Columbia Capital LP
Crescendo Venture Management LLP
Grotech Ventures
Undisclosed Firm
Grotech Ventures
Bessemer Venture Partners
Crescendo Venture Management LLP
Undisclosed Firm
Bessemer Venture Partners
Columbia Capital LP
Crescendo Venture Management LLP
Windspeed Ventures
Bessemer Venture Partners
Bessemer Venture Partners
Rre Ventures LLC
Crescendo Venture Management LLP
Columbia Capital LP
Grotech Ventures
Rre Ventures LLC
Accel Partners & Co Inc
Argo Global Capital, Inc.
Scale Venture Partners
Vanguard Ventures, Inc.
Undisclosed Firm
Grotech Ventures
Bessemer Venture Partners
Columbia Capital LP
Bessemer Venture Partners
Charles River Ventures LLC
Columbia Capital LP
Charles River Ventures LLC
Crescendo Venture Management LLP
Meritech Capital Partners
Mayfield Fund LLC
Comcast Ventures
Undisclosed Firm",Goldman Sachs,1,80000.20,NA,61.829,68.887,28.53,56.56,-7.85,-0.113954737,18.67,68.30,27.34%,-0.017463783,25.92,-0.077777778,8.3
17,6/30/10,7/15/10,Qlik Technologies Inc,Dvlp software solutions,United States,QLIK,112.00,112.00,10.00,Common Shares,Yes,"JVP Jerusalem Venture Partners Israel Management Ltd
Undisclosed Firm
Thoma Bravo LLC
Thoma Bravo LLC
Undisclosed Firm
Undisclosed Firm
Thoma Bravo LLC
Thoma Bravo LLC
Accel Partners & Co Inc",Morgan Stanley,2,12500.00,NA,118.264,157.359,93.35,127.09,6.86,0.043594583,3.78,99.40,3.80%,-0.020714286,25.139999,0.28,12.8
18,6/30/10,7/21/10,Green Dot Corp,Pvd prepaid debit cards svcs,United States,GDOT,164.09,164.10,36.00,Class A Shares,Yes,"Fairmont Capital Inc
Sequoia Capital Operations LLC
Undisclosed Firm
TTV Capital LLC
Tech Coast Angels Inc
Sequoia Capital Operations LLC
TTV Capital LLC
Tech Coast Angels Inc
GE Commercial Finance - Equity
Undisclosed Firm
TTV Capital LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Undisclosed Firm
Technology Crossover Ventures LP
TTV Capital LLC
TTV Capital LLC",JP Morgan,1,79922.70,NA,168.126,234.82,75.79,171.15,37.16,0.158248871,0,192.90,0.00%,-0.038955245,25.639999,0.2219445,43.990002
19,6/30/10,8/11/10,RealPage Inc,Dvlp property mgmt software,United States,RP,135.30,135.30,11.00,Common Shares,Yes,"Apax Partners LLP
Undisclosed Firm
Apax Partners LLP
Camden Partners Holdings LLC
Leeds Equity Advisors Inc
Leeds Equity Advisors Inc
Apax Partners LLP
Apax Partners LLP
Camden Partners Holdings LLC
Camden Partners Holdings LLC
Seren Capital Ltd
Leeds Equity Advisors Inc
Camden Partners Holdings LLC
Camden Partners Holdings LLC",Credit Suisse,1,47923.00,NA,112.568,140.9,27.8,75.46,28.43,0.201774308,61.86,142.10,43.53%,0.011756031,25.389999,0.32,14.52
20,9/30/10,11/10/10,Inphi Corp,"Mnfr,whl semiconductors",United States,IPHI,81.60,81.60,12.00,Common Shares,Yes,"Undisclosed Firm
KeyNote Ventures LLC
Mayfield Fund LLC
Tallwood Venture Capital
Mayfield Fund LLC
Tallwood Venture Capital
Flex Ltd
Walden International
Undisclosed Firm
Mayfield Fund LLC
Tallwood Venture Capital
Walden International
Tallwood Venture Capital
Mayfield Fund LLC
Mayfield Fund LLC
Mayfield Fund LLC
Flex Ltd
Walden International
Undisclosed Firm
Mayfield Fund LLC
Tallwood Venture Capital
Mayfield Fund LLC
Walden International
Undisclosed Firm
Tallwood Venture Capital
Flex Ltd
Undisclosed Firm
Mayfield Fund LLC",Morgan Stanley,2,80354.10,NA,42.954,58.85,7.7,29.5,7.33,0.124553951,0,60.80,0.00%,0.046720925,18.469999,0.2275,14.73
21,12/31/09,12/14/10,FleetCor Technologies Inc,Provide card payment services,United States,FLT,291.53,291.50,23.00,Common Shares,Yes,"Summit Partners LP
HarbourVest Partners LLC
Intel Capital Corp
Summit Partners LP
Summit Partners LP
Summit Partners LP
HarbourVest Partners LLC
Advent International Corp
Summit Partners LP
Bain Capital LP
Performance Equity Management LLC
Eastman Kodak Co
Advent International Corp
Advantage Capital Partners
Nautic Partners LLC
Summit Partners LP
Advantage Capital Partners
Advantage Capital Partners
Advantage Capital Partners
Nautic Partners LLC
Performance Equity Management LLC
Advantage Capital Partners
Advantage Capital Partners
Summit Partners LP
Summit Partners LP
Summit Partners LP
Summit Partners LP
Undisclosed Firm
Summit Partners LP
Undisclosed Firm
Chestnut Hill Ventures LLC
Bain Capital LP",JP Morgan,3,240999.90,NA,256.761,354.1,30.58,208.06,89.05,0.251482632,0,1209.50,0.00%,0.038656994,17.610001,0.184782609,27.25
22,12/31/10,2/1/11,NeoPhotonics Corp,Mnfr integrated circuit,United States,NPTN,82.50,82.50,11.00,Common Shares,Yes,"Techno Venture Co Ltd
Nth Power LLC
Oak Investment Partners
Crossroads Liquidating Trust
Draper Fisher Jurvetson International Inc
W R Hambrecht & Co L L C
Oak Investment Partners
Ata Ventures
Ata Ventures
Bay Partners
Institutional Venture Partners
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
Hydro-Quebec
Rockport Capital Partners
Institutional Venture Partners
SBV Venture Partners
Institutional Venture Partners
Rockport Capital Partners
180 Degree Capital Corp
Bay Partners
Ata Ventures
Technology Partners
Undisclosed Firm
Needham Capital Partners
International Finance Corp
DuPont Ventures
Shanghai Industrial Holdings Ltd
Mitsubishi International Corp
180 Degree Capital Corp
Undisclosed Firm
180 Degree Capital Corp
Bay Partners
Bay Partners
Institutional Venture Partners
Nth Power LLC
Nth Power LLC
SBV Venture Partners
Oak Investment Partners
Draper Fisher Jurvetson International Inc
Ata Ventures
Draper Fisher Jurvetson International Inc
180 Degree Capital Corp
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Rockport Capital Partners
Fountainhead Capital Ltd
Venrock Inc
Rossiiskaia Korporatsiia Nanotekhnologii GK
Siparex Group
SBV Venture Partners
Sands Brothers & Co Ltd
Xr Ventures  LLC
Dow Silicones Corp
Draper Fisher Jurvetson International Inc
East Gate Capital, Inc.
Bay Partners
Bay Partners
Rockport Capital Partners
Rockport Capital Partners
Ata Ventures
Rockport Capital Partners
Undisclosed Firm
Alps Investment Research
SBV Venture Partners
Institutional Venture Partners
Oak Investment Partners
Draper Fisher Jurvetson International Inc
Ventana Capital Management LP
180 Degree Capital Corp
Rockport Capital Partners
Rockport Capital Partners
Draper Fisher Jurvetson International Inc
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Oak Investment Partners
Undisclosed Firm",Bank of America,1,290017.50,NA,133.989,155.06,9.59,44.67,-6.85,-0.044176448,2.11,172.50,1.22%,0.029043699,17.629999,0.204545455,13.25
23,3/31/11,4/14/11,Ellie Mae Inc,Dvlp mortgage mgmt software,United States,ELLI,45.00,45.00,6.00,Common Shares,Yes,"H&Q Asia Pacific, Ltd.
Federal National Mortgage Association
RS Investment Trust
Undisclosed Firm
Alloy Ventures Inc
Alloy Ventures Inc
Alloy Ventures Inc
Leland Stanford Junior University
Charter Venture Capital
Charter Venture Capital
Charter Venture Capital
Charter Venture Capital
Charter Venture Capital
Alta Partners
Alta Partners
Alta Partners
Charter Venture Capital
Osprey Ventures LP
GKM VENTURE PARTNERS L P
Undisclosed Firm
Thoma Bravo LLC
Undisclosed Firm
Thoma Bravo LLC",Goldman Sachs,5,48499.90,NA,33.573,37.71,7.53,23.96,1.66,0.044020154,0,64.00,0.00%,0.023335408,16.27,0.128333333,6.77
24,3/31/11,4/20/11,Responsys Inc,Dvlp email mktg software,United States,MKTG,79.44,79.40,12.00,Common Shares,Yes,"Accel Partners & Co Inc
Foundation Capital LLC
Undisclosed Firm
Accel Partners & Co Inc
Foundation Capital LLC
Undisclosed Firm
Accel Partners & Co Inc
Undisclosed Firm
Accel Partners & Co Inc
Foundation Capital LLC
Accel Partners & Co Inc
Undisclosed Firm
Windspeed Ventures
Redpoint Ventures
Sigma Partners
Redpoint Ventures
RSA Capital LLC
Redpoint Ventures
RB Webber and Comapny Inc
Accel Partners & Co Inc
Foundation Capital LLC
Lighthouse Capital Partners  LP
Foundation Capital LLC
Sigma Partners
RB Webber and Comapny Inc",Morgan Stanley,1,62400.00,NA,66.643,94.07,20.85,39.67,8.6,0.091421282,0,72.60,0.00%,0.025897956,15.07,0.283333333,15.4
25,3/31/11,5/3/11,Boingo Wireless Inc,Pvd wireless Internet svcs,United States,WIFI,77.90,77.90,13.50,Common Shares,Yes,"New Enterprise Associates Inc
Undisclosed Firm
Undisclosed Firm
New Enterprise Associates Inc
Mitsui & Co. Global Investment, Ltd.
Evercore Inc
Sternhill Partners I LP
Red Rock Ventures
Steelpoint Capital Partners LP
New Enterprise Associates Inc
Evercore Inc
New Enterprise Associates Inc
Mitsui & Co. Global Investment, Ltd.
Sternhill Partners I LP
Evercore Inc
Undisclosed Firm",Credit Suisse,3,99800.00,NA,56.711,65.72,5.9,63.43,1.42,0.021606817,0,127.30,0.00%,0.018535203,16.700001,-0.103703704,12.1
26,3/31/11,5/18/11,LinkedIn Corp,Pvd online networking services,United States,LNKD,352.80,352.80,45.00,Class A Shares,Yes,"Bessemer Venture Partners
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Greylock Partners LLC
Undisclosed Firm
Global Founders Capital Management GmbH
Greylock Partners LLC
Bain Capital Venture Partners LLC
Sequoia Capital Operations LLC
Bessemer Venture Partners
Undisclosed Firm
Sequoia Capital Operations LLC
Greylock Partners LLC
Greylock Partners LLC
Goldman Sachs & Co LLC
Sapphire Ventures LLC
Mcgraw-Hill Ventures Inc
Sapphire Ventures LLC
Goldman Sachs & Co LLC
Bessemer Venture Partners
Mcgraw-Hill Ventures Inc
Bessemer Venture Partners",Morgan Stanley,2,235160.90,NA,120.127,243.1,58.98,223.52,15.39,0.063307281,0,265.30,0.00%,0.029105416,16.23,1.094444444,94.25
27,3/31/11,5/26/11,Solazyme Inc,"Prod,whl renewable oil",United States,SZYM,197.55,197.60,18.00,Common Shares,Yes,"New Enterprise Associates Inc
Pelion Venture Partners
Dell Ventures LP
Iron Capital Partners
Sumitomo Corp
Lightspeed Management Company LLC
Pelion Venture Partners
Allegis Capital LLC
Undisclosed Firm
West Coast Venture Capital
New Enterprise Associates Inc
Dell Ventures LP
New Enterprise Associates Inc
Undisclosed Firm
Accel Partners & Co Inc
Pelion Venture Partners
Lightspeed Management Company LLC
Andreessen Horowitz LLC
Undisclosed Firm
New Enterprise Associates Inc
Meritech Capital Partners
Pelion Venture Partners",Morgan Stanley,1,115136.10,NA,9.161,37.97,NA,51.65,-16.28,-0.428759547,0.18,86.70,0.21%,-0.013279866,16.09,0.238888889,22.3
28,9/30/11,11/3/11,Groupon Inc,Pvd online mktg svcs,United States,GRPN,700.00,700.00,20.00,Class A Shares,Yes,"Tiger Global Management LLC
Undisclosed Firm
Undisclosed Firm
New Enterprise Associates Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Mail.Ru Group Ltd
Andreessen Horowitz LLC
Kleiner Perkins
Silver Lake Partners LP
Maveron LLC
Battery Ventures LP
Battery Ventures LP
New Enterprise Associates Inc
Greylock Partners LLC
Maverick Capital Ltd
Technology Crossover Ventures LP
Greylock Partners LLC
Kleiner Perkins
Silver Lake Partners LP
Maveron LLC
Accel Partners & Co Inc
Undisclosed Firm
Andreessen Horowitz LLC
Maverick Capital Ltd
Technology Crossover Ventures LP
New Enterprise Associates Inc
Accel Partners & Co Inc
New Enterprise Associates Inc
Battery Ventures LP
Undisclosed Firm
New Enterprise Associates Inc
Battery Ventures LP
New Enterprise Associates Inc
Undisclosed Firm
Accel Partners & Co Inc
Undisclosed Firm
Accel Partners & Co Inc
New Enterprise Associates Inc
Maveron LLC",Morgan Stanley,2,322372.90,NA,30.471,713.365,233.913,700.298,-413.386,-0.579487359,0,381.57,0.00%,0.123820585,30.5,0.30550005,26.110001
29,3/28/10,11/15/11,InvenSense Inc,Dvlp motion sensing software,United States,INVN,75.00,75.00,7.50,Common Shares,Yes,"Artiman Management LLC
Partech Partners
SkyLake Investment & Co
Undisclosed Firm
Undisclosed Firm
Partech Partners
Artiman Management LLC
Qualcomm Ventures
Partech Partners
Sierra Ventures Management LLC
Shasta Ventures LP
Artiman Management LLC
Artiman Management LLC
VentureTech Alliance Holdings LLC
Partech Partners
Qualcomm Ventures
Sierra Ventures Management LLC
DOCOMO Innovations Inc",Goldman Sachs,1,53000.40,NA,79.556,96.55,NA,31.42,9.35,0.096841015,0.02,54.50,0.04%,0.048656732,31.219999,0.186666667,8.9
30,9/30/11,12/15/11,Zynga Inc,Pvd online social gaming svcs,United States,ZNGA,1000.00,1000.00,10.00,Class A Shares,Yes,"Institutional Venture Partners
Institutional Venture Partners
Foundry Group LLC
Kleiner Perkins
Avalon Ventures, LLC
Avalon Ventures, LLC
Union Square Ventures LLC
Avalon Ventures, LLC
Union Square Ventures LLC
Union Square Ventures LLC
Union Square Ventures LLC
Avalon Ventures, LLC
Union Square Ventures LLC
Undisclosed Firm
SoftBank Group Corp
Undisclosed Firm
Andreessen Horowitz LLC
Institutional Venture Partners
Kleiner Perkins
Union Square Ventures LLC
Foundry Group LLC
Avalon Ventures, LLC
Coatue Management L L C
Undisclosed Firm
Foundry Group LLC
Foundry Group LLC
Foundry Group LLC
Foundry Group LLC
SoftBank Group Corp
Globespan Capital Partners
Kleiner Perkins
Foundry Group LLC
Tiger Global Management LLC
Union Square Ventures LLC
Union Square Ventures LLC
Kleiner Perkins
Union Square Ventures LLC
Foundry Group LLC
Avalon Ventures, LLC
Kleiner Perkins
Kleiner Perkins
Silver Lake Partners LP
Undisclosed Firm
Institutional Venture Partners
Andreessen Horowitz LLC
Undisclosed Firm",Morgan Stanley,1,873912.30,NA,121.467,597.459,114.165,471.987,90.595,0.151633836,0,1112.57,0.00%,-0.030932756,25.110001,-0.05,9.5
31,10/31/11,1/24/12,Guidewire Software Inc,Pvd core system software svcs,United States,GWRE,115.05,115.10,13.00,Common Shares,Yes,"Bay Partners
Bay Partners
U.S. Venture Partners
Bay Partners
Bay Partners
Bay Partners
Bay Partners
U.S. Venture Partners
U.S. Venture Partners
Bay Partners
Bay Partners
Battery Ventures LP
Battery Ventures LP",JP Morgan,2,24193.00,NA,144.691,172.47,28.95,97.26,35.56,0.206180785,0,80.70,0.00%,0.039291715,18.91,0.316923154,17.120001
