"","Date.of.Finan..cial.Period.Before.Offer","Issue.Date","Day.of.Week","Issuer","Business.Description","Nation","Ticker.Symbol","Primary.Exchange.Where.Issuer.s.Stock.Trades","Principal.Amount....mil.","Proceeds.Amt...in..this.Mkt....mil.","X...Offer....Price","Type.of.Security","Amt.Filed....in.this.Mkt.....mil.","IPO.Flag..Y.N.","VC.Lead..Seed.","Investment.Bank..Lead.Left.","X..of.additional.lead.underwriters","Last.Private.Valuation","Total.VC.Funding.Raised","Age.of.Firm","Total.Revenues.in.Previous.Year","Total.Revenues.Last.Reported.Fiscal.Period.in.S.1..US..mil.","Selling.and.Marketing","Total.Operating.Expenses","Net.Income","Net.Income.Margin","Long.Term.Debt","X..Total...Assets...Before....the..Offering......mil.","Long.Term.Debt.to.Total.Asset.Ratio","Market.Value.Before.Offer....mil.","X.Market..Value...Pro..Forma..Offer....mil.","X...Book...Value....Per...Share","IPO..Offer.Date","IPO.Flag..Y.N..1","X..Change.Stock.Price.180.Days.After.Offer","X..Stock...Price..180.Days...After...Offer","Initial.Day.Price...Day","market_performance","VIX_before"
"12","12/31/09","3/23/10",NA,"MaxLinear Inc","Pvd semiconductor solutions","United States","MXI","New York","90.217",90.2,14,"Common Shares","100","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,31.33,"?",20.67,-1.91,"-6.10%",0.27,"99","0.27%","353.7","425.8",2.99,"3/23/10","Yes",-12.07,12.31,NA,0.0562252588619914,16.35
"13","12/31/09","3/24/10",NA,"Calix Inc","Pvd broadband commun svcs","United States","CALX","New York","82.276",82.3,13,"Common Shares","100","Yes",NA,"Goldman Sachs",3,NA,NA,NA,NA,250.46,"31.63",91.97,-12.92,"-5.16%",21,"767.1","2.74%","389.6","471.9",4.97,"3/24/10","Yes",-4.08,12.47,NA,0.0510974432854464,17.549999
"14","4/2/10","4/21/10",NA,"DynaVox Inc","Pvd speech generating tech","United States","DVOX","Nasdaq","140.625",140.6,15,"Class A Shares","125","Yes",NA,"Piper Jaffray",3,NA,NA,NA,NA,91.2,"28.15",47.36,8.84,"9.69%",79.54,"139.1","57.18%","","140.6",2.83,"4/21/10","Yes",-62.33,5.65,NA,0.0349087240726897,16.32
"15","3/31/10","5/13/10",NA,"TeleNav Inc","Mnfr search,detection equip","United States","TNAV","Nasdaq","56",56,8,"Common Shares","75","Yes",NA,"JP Morgan",1,NA,NA,NA,NA,110.88,"16.54",48.34,29.62,"26.71%",0,"110.1","0.00%","284.7","328.7",3.63,"5/13/10","Yes",-14.88,6.81,NA,-0.0320454304924404,26.68
"16","3/31/10","5/19/10",NA,"ReachLocal Inc","Pvd online marketing services","United States","RLOC","Nasdaq","54.167",54.2,13,"Common Shares","100","Yes",NA,"JP Morgan",1,NA,NA,NA,NA,146.69,"61.05",76.12,-7,"-4.77%",0,"101.5","0.00%","309.7","352.8",3.06,"5/19/10","Yes",52.38,19.81,NA,-0.0671896847874081,35.32
"17","3/31/10","6/16/10",NA,"BroadSoft Inc","Dvlp telecommun software","United States","BSFT","Nasdaq","67.5",67.5,9,"Common Shares","103.5","Yes",NA,"Goldman Sachs",1,NA,NA,NA,NA,37.94,"28.53",56.56,-7.85,"-20.69%",18.67,"68.3","27.34%","155","222.5",1.15,"6/16/10","Yes",187.11,25.84,NA,-0.0174637828204594,25.92
"18","6/30/10","7/15/10",NA,"Qlik Technologies Inc","Dvlp software solutions","United States","QLIK","Nasdaq","112",112,10,"Common Shares","100","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,99.86,"93.35",127.09,6.86,"6.87%",3.78,"99.4","3.80%","637.6","749.6",1.92,"7/15/10","Yes",157.9,25.79,NA,-0.0207142857142857,25.139999
"19","6/30/10","7/21/10",NA,"Green Dot Corp","Pvd prepaid debit cards svcs","United States","GDOT","New York","164.09",164.1,36,"Class A Shares","150","Yes",NA,"JP Morgan",1,NA,NA,NA,NA,234.82,"75.79",171.15,37.16,"15.82%",0,"192.9","0.00%","243.6","243.6",17.8,"7/21/10","Yes",71.19,61.63,NA,-0.0389552449885919,25.639999
"20","6/30/10","8/11/10",NA,"RealPage Inc","Dvlp property mgmt software","United States","RP","Nasdaq","135.3",135.3,11,"Common Shares","150","Yes",NA,"Credit Suisse",1,NA,NA,NA,NA,140.9,"27.8",75.46,28.43,"20.18%",61.86,"142.1","43.53%","615.6","685.4",1.12,"8/11/10","Yes",149.64,27.46,NA,0.0117560308410259,25.389999
"21","9/30/10","11/10/10",NA,"Inphi Corp","Mnfr,whl semiconductors","United States","IPHI","New York","81.6",81.6,12,"Common Shares","115","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,58.85,"7.7",29.5,7.33,"12.46%",0,"60.8","0.00%","207","288.6",5.93,"11/10/10","Yes",70.33,20.44,NA,0.0467209250455049,18.469999
"22","12/31/09","12/14/10",NA,"FleetCor Technologies Inc","Provide card payment services","United States","FLT","New York","291.525",291.5,23,"Common Shares","500","Yes",NA,"JP Morgan",3,NA,NA,NA,NA,354.1,"30.58",208.06,89.05,"25.15%",0,"1,209.50","0.00%","","1,810.50",7.95,"12/14/10","Yes",30.48,30.01,NA,0.0386569944068733,17.610001
"23","12/31/10","2/1/11",NA,"NeoPhotonics Corp","Mnfr integrated circuit","United States","NPTN","New York","82.5",82.5,11,"Common Shares","115","Yes",NA,"Bank of America",1,NA,NA,NA,NA,155.06,"9.59",44.67,-6.85,"-4.42%",2.11,"172.5","1.22%","175.7","258.2",8.28,"2/1/11","Yes",-33.27,7.34,NA,0.0290436986451704,17.629999
"24","3/31/11","4/14/11",NA,"Ellie Mae Inc","Dvlp mortgage mgmt software","United States","ELLI","NYSE Amex","45",45,6,"Common Shares","86.3","Yes",NA,"Goldman Sachs",5,NA,NA,NA,NA,37.71,"7.53",23.96,1.66,"4.40%",0,"64","0.00%","92.4","128.1",3.39,"4/14/11","Yes",-12.67,5.24,NA,0.0233354079548134,16.27
"25","3/31/11","4/20/11",NA,"Responsys Inc","Dvlp email mktg software","United States","MKTG","Nasdaq","79.436",79.4,12,"Common Shares","60","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,94.07,"20.85",39.67,8.6,"9.14%",0,"72.6","0.00%","463.3","529.3",2.98,"4/20/11","Yes",-8.5,10.98,NA,0.025897956455297,15.07
"26","3/31/11","5/3/11",NA,"Boingo Wireless Inc","Pvd wireless Internet svcs","United States","WIFI","Nasdaq","77.895",77.9,13.5,"Common Shares","75","Yes",NA,"Credit Suisse",3,NA,NA,NA,NA,65.72,"5.9",63.43,1.42,"2.16%",0,"127.3","0.00%","361.2","439.1",3.8,"5/3/11","Yes",-43.33,7.65,NA,0.0185352025564761,16.700001
"27","3/31/11","5/10/11",NA,"Kosmos Energy Ltd","Oil,gas exploration,prodn co","United States","KOS","New York","594",594,18,"Common Shares","500","Yes",NA,"Citigroup",2,NA,NA,NA,NA,676.78,"0",577.74,22.36,"3.30%",1110,"1,837.30","60.41%","6,141.20","6,762.50",2.37,"5/10/11","Yes",-23.94,13.69,NA,0.0257435287618549,15.91
"28","3/31/11","5/18/11",NA,"LinkedIn Corp","Pvd online networking services","United States","LNKD","New York","352.8",352.8,45,"Class A Shares","175","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,243.1,"58.98",223.52,15.39,"6.33%",0,"265.3","0.00%","4,035.20","4,305.40",4.14,"5/18/11","Yes",66.36,74.86,NA,0.029105415580659,16.23
"29","3/31/11","5/26/11",NA,"Solazyme Inc","Prod,whl renewable oil","United States","SZYM","Nasdaq","197.55",197.6,18,"Common Shares","100","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,37.97,"?",51.65,-16.28,"-42.88%",0.18,"86.7","0.21%","852.6","1,039.30",4.58,"5/26/11","Yes",-35.06,11.69,NA,-0.013279865664805,16.09
"30","3/31/11","6/8/11",NA,"Fusion-io Inc","Dvlp storage memory software","United States","FIO","New York","233.7",233.7,19,"Common Shares","150","Yes",NA,"Goldman Sachs",3,NA,NA,NA,NA,36.22,"23.39",51.75,-31.72,"-87.58%",11.31,"85.6","13.21%","1,244.70","1,478.40",3.53,"6/8/11","Yes",53.79,29.22,NA,-0.0467636798785357,18.790001
"31","9/30/11","10/13/11",NA,"Ubiquiti Networks Inc","Mnfr,whl communications equip","United States","UBNT","Nasdaq","105.573",105.6,15,"Common Shares","200","Yes",NA,"UBS",1,NA,NA,NA,NA,136.95,"?",49.87,-5.46,"-3.99%",0,"119","0.00%","1,310.20","1,361.90",0.83,"10/13/11","Yes",116.13,32.42,NA,0.0235264485056302,30.700001
"32","3/28/10","11/15/11",NA,"InvenSense Inc","Dvlp motion sensing software","United States","INVN","New York","75",75,7.5,"Common Shares","100","Yes",NA,"Goldman Sachs",1,NA,NA,NA,NA,96.55,"?",31.42,9.35,"9.68%",0.02,"54.5","0.04%","519.9","594.9",NA,"11/15/11","Yes",53.07,11.48,NA,0.0486567317144623,31.219999
"33","10/31/11","1/24/12",NA,"Guidewire Software Inc","Pvd core system software svcs","United States","GWRE","New York","115.05",115.1,13,"Common Shares","","Yes",NA,"JP Morgan",2,NA,NA,NA,NA,172.47,"28.95",97.26,35.56,"20.62%",0,"80.7","0.00%","520.6","652.9",3.16,"1/24/12","Yes",96,25.48,NA,0.039291715381322,18.91
"34","12/31/11","2/9/12",NA,"Synacor Inc","Dvlp Internet software","United States","SYNC","Nasdaq","34.091",34.1,5,"Common Shares","75","Yes",NA,"Bank of America",2,NA,NA,NA,NA,66.23,"6.21",69.57,-3.59,"-5.42%",0,"40.8","0.00%","100.6","127.9",1.8,"2/9/12","Yes",98.6,9.93,NA,0.0482459208454301,18.629999
"35","12/31/11","2/23/12",NA,"Proto Labs Inc","Mnfr prototype plastic parts","United States","PRLB","New York","68.8",68.8,16,"Common Shares","100","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,98.94,"15.75",32.75,17.97,"18.16%",0.61,"62.3","0.98%","302.2","371",5.37,"2/23/12","Yes",106.25,33,NA,0.0393275347992338,16.799999
"36","12/31/11","3/28/12",NA,"CafePress Inc","Own,op e-commerce platform","United States","PRSS","Nasdaq","85.5",85.5,19,"Common Shares","80","Yes",NA,"JP Morgan",2,NA,NA,NA,NA,127.93,"26.46",51.18,2.72,"2.13%",0.05,"86.9","0.06%","275.1","322.6",1.53,"3/28/12","Yes",-51.05,9.3,NA,0.0241323775406132,15.47
"37","3/31/12","4/19/12",NA,"Proofpoint Inc","Dvlp email sec software","United States","PFPT","Nasdaq","82.282",82.3,13,"Common Shares","50","Yes",NA,"Credit Suisse",1,NA,NA,NA,NA,81.84,"42.68",71.69,-20.14,"-24.61%",4.53,"64.7","7.00%","318.9","395.6",1.18,"4/19/12","Yes",4.85,13.63,NA,-0.0193677083542052,18.360001
"38","3/31/12","5/17/12",NA,"Facebook Inc","Internet Service Providers","United States","FB","Nasdaq","16,006.88",16006.9,38,"Class A Shares","5,000.00","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,3711,"427",1955,1000,"26.95%",0,"6,859.00","0.00%","74,407.20","81,247.20",6.22,"5/17/12","Yes",-41.16,22.36,NA,-0.0591026810597831,24.49
"39","4/30/12","7/19/12",NA,"Palo Alto Networks Inc","Computer Systems Design Services","United States","PANW","New York","260.4",260.4,42,"Common Shares","175","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,118.6,"62.25",96.73,-12.53,"-10.56%",0,"166.5","0.00%","2,600.40","2,836.30",3.39,"7/19/12","Yes",30.36,54.75,NA,0.0149594623793544,15.45
"40","6/30/12","7/19/12",NA,"KAYAK Software Corp","Pvd online travel info svc","United States","KYAK","Nasdaq","91",91,26,"Class A Shares","50","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,128.28,"69.14",113.21,6.16,"4.80%",0,"299.1","0.00%","888.5","993.1",9.88,"7/19/12","Yes",55.65,40.47,NA,0.0149594623793544,15.45
"41","5/31/12","7/25/12",NA,"E2open Inc","Pvd software solution","United States","EOPN","Nasdaq","70.313",70.3,15,"Common Shares","86.3","Yes",NA,"Bank of America",0,NA,NA,NA,NA,39.42,"12.76",29.28,6.64,"16.84%",1.67,"29.7","5.62%","317.7","373.9",0.8,"7/25/12","Yes",19.53,17.93,NA,0.0201035627419665,19.34
"42","6/30/12","8/2/12",NA,"Globus Medical Inc","Mnfr medical device,instrument","United States","GMED","New York","100",100,12,"Class A Shares","100","Yes",NA,"Bank of America",3,NA,NA,NA,NA,331.48,"?",165.32,60.78,"18.34%",0,"367.3","0.00%","1,059.70","1,084.70",4.03,"8/2/12","Yes",4.92,12.59,NA,-0.00560370407965346,17.57
"43","9/30/12","10/2/12",NA,"LifeLock Inc","Dvlp Internet software","United States","LOCK","New York","141.3",141.3,9,"Common Shares","175","Yes",NA,"Goldman Sachs",2,NA,NA,NA,NA,193.95,"91.22",126.48,-4.26,"-2.20%",49.8,"284.1","17.53%","610.9","750.4",2.64,"10/2/12","Yes",2.67,9.24,NA,0.024604701301884,15.71
"44","9/30/12","11/15/12",NA,"Ruckus Wireless Inc","Mnfr,whl Wi-Fi products","United States","RKUS","New York","126",126,15,"Common Shares","100","Yes",NA,"Goldman Sachs",1,NA,NA,NA,NA,120.02,"32.66",66.08,4.19,"3.49%",0,"123.1","0.00%","1,000.30","1,105.30",2.31,"11/15/12","Yes",-15.47,12.68,NA,-0.0676102547290903,17.99
"45","6/30/13","7/18/13",NA,"RetailMeNot Inc","Provide ecommerce services","United States","SALE","Nasdaq","190.909",190.9,21,"Common Shares","230","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,144.69,"40.67",99.19,25.99,"17.96%",37.85,"379.3","9.98%","958.9","1,054.30",7.22,"7/18/13","Yes",52.33,31.99,NA,0.0188849396981736,13.77
"46","6/30/13","8/1/13",NA,"Control4 Corp","Mnfr wired automation prods","United States","CTRL","Nasdaq","64",64,16,"Common Shares","60","Yes",NA,"Bank of America",1,NA,NA,NA,NA,109.51,"20.18",53.51,-3.72,"-3.40%",3.16,"53.3","5.93%","289.5","363.1",4.19,"8/1/13","Yes",45.75,23.32,NA,0.0586191712031871,12.94
"47","6/30/13","8/6/13",NA,"YuMe Inc","Pvd video advg tech services","United States","YUME","New York","46.125",46.1,9,"Common Shares","65","Yes",NA,"Citigroup",1,NA,NA,NA,NA,116.74,"31.39",46.62,6.27,"5.37%",0,"83.2","0.00%","240.1","286.2",3.12,"8/6/13","Yes",-22.11,7.01,NA,0.0352546453538514,12.72
"48","9/30/13","10/1/13",NA,"RE/MAX Holdings Inc","Pvd RE brokerage services","United States","RMAX","New York","220",220,22,"Class A Shares","100","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,143.68,"?",98.13,33.32,"23.19%",223.33,"252","88.62%","","222.4",23.94,"10/1/13","Yes",31.05,28.83,NA,0.0301113025738264,15.54
"49","7/31/13","10/15/13",NA,"Veeva Systems Inc","Dvlp CRM,content mgmt software","United States","VEEV","New York","260.9",260.9,20,"Class A Shares","150","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,129.55,"19.49",42.5,18.78,"14.50%",4.45,"112.6","3.95%","2,250.60","2,484.20",2.18,"10/15/13","Yes",9.5,21.9,NA,-0.00358170986532459,18.66
"50","9/30/13","2/13/14",NA,"Inogen Inc","Mnfr respiratory equipment","United States","INGN","Nasdaq","70.588",70.6,16,"Common Shares","86.3","Yes",NA,"JP Morgan",0,NA,NA,NA,NA,48.58,"?",23.12,0.56,"1.15%",6.65,"60.9","10.92%","232.3","288.8",NA,"2/13/14","Yes",18.94,19.03,NA,-0.00359341758146036,14.14
"51","3/31/14","4/3/14",NA,"GrubHub Inc","Pvd online food delivery svcs","United States","GRUB","New York","192.546",192.5,26,"Common Shares","100","Yes",NA,"Citigroup",1,NA,NA,NA,NA,137.1,"37.35",122.25,6.75,"4.92%",1.35,"795.7","0.17%","1,934.00","2,066.90",8.57,"4/3/14","Yes",34.81,35.05,NA,0.00559762761917448,13.37
"52","3/31/14","6/25/14",NA,"GoPro Inc","Photographic and Photocopying Equipment Manufacturing","United States","GPRO","Nasdaq","427.2",427.2,24,"Class A Shares","100","Yes",NA,"JP Morgan",2,NA,NA,NA,NA,985.74,"157.77",263.08,60.58,"6.15%",53.32,"354","15.06%","2,741.80","3,019.50",0.38,"6/25/14","Yes",156.42,61.54,NA,0.0211988195238342,11.59
"53","","1/22/15",NA,"Box Inc","Software Publishers","United States","BOX","New York","175",175,14,"Class A Shares","250","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,124.19,"171.19",257,-168.56,"-135.73%",34,"235.49","14.44%","1,455.20","1,656.50",NA,"1/22/15","Yes",18.79,16.63,NA,-0.00794220938628155,16.4
"54","12/31/14","3/5/15",NA,"MaxPoint Interactive Inc","Custom Computer Programming Services","United States","MXPT","New York","74.75",74.8,11.5,"Common Shares","75","Yes",NA,"Goldman Sachs",2,NA,NA,NA,NA,66.07,"20.48",34.36,-0.19,"-0.29%",17.76,"73.7","24.10%","219.3","294",NA,"3/5/15","Yes",-56.52,5,NA,0.0274361018831497,14.04
"55","12/31/14","3/25/15",NA,"Solaredge Tech Inc","Pvd photovoltaic solutions svc","United States","SEDG","Nasdaq","126",126,18,"Common Shares","125","Yes",NA,"Goldman Sachs",1,NA,NA,NA,NA,133.22,"17.79",40.34,-21.38,"-16.05%",4.68,"133.3","3.51%","559.2","704.1",3.85,"3/25/15","Yes",39.94,25.19,NA,-0.0258037584365024,15.44
"56","3/31/15","6/17/15",NA,"Fitbit Inc","Electronic Computer Manufacturing","United States","FIT","New York","731.5",731.5,20,"Class A Shares","100","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,973.4,"745.43",112.01,199.73,"20.52%",159.61,"669.3","23.85%","3,645.30","4,093.00",3.53,"6/17/15","Yes",49.2,29.84,NA,-0.0117785543375348,14.5
"57","3/31/15","6/25/15",NA,"AppFolio Inc","Software Publishers","United States","APPF","Nasdaq","74.4",74.4,12,"Class A Shares","100","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,47.6,"16.88",56.23,-8.62,"-18.11%",0.13,"36","0.36%","239.1","324.6",NA,"6/25/15","Yes",36.92,16.43,NA,-0.00398669203588069,14.01
"58","7/31/15","10/6/15",NA,"Pure Storage Inc","Mnfr data storage equip","United States","PSTG","New York","425",425,17,"Class A Shares","300","Yes",NA,"Morgan Stanley",4,NA,NA,NA,NA,174.45,"152.32",277.38,-182.23,"-104.46%",0,"332.4","0.00%","2,721.00","3,209.70",3.09,"10/6/15","Yes",-15.35,14.39,NA,0.001823431154151,19.4
"59","9/30/15","12/9/15",NA,"Atlassian Corp Plc","Software Publishers","United States","TEAM","Nasdaq","462",462,21,"Class A Shares","250","Yes",NA,"Goldman Sachs",1,NA,NA,NA,NA,319.52,"67.99",266.17,6.78,"2.12%",0,"325","0.00%","3,920.20","4,451.50",3.32,"12/9/15","Yes",11.714,23.46,NA,-0.0131680410114567,19.610001
"60","3/31/16","5/12/16",NA,"Acacia Communications Inc","Semiconductor and Related Device Manufacturing","United States","ACIA","Nasdaq","103.5",103.5,23,"Common Shares","125","Yes",NA,"Goldman Sachs",2,NA,NA,NA,NA,170.51,"?",34.39,17.88,"10.49%",0,"149.3","0.00%","716.6","820.1",6.21,"5/12/16","Yes",217.48,73.02,NA,0.00310800313818969,14.41
"61","3/31/16","6/1/16",NA,"NantHealth Inc","Computer Facilities Management Services","United States","NH","New York","91",91,14,"Common Shares","","Yes",NA,"Jefferies",1,NA,NA,NA,NA,58.3,"?",94.5,-72.01,"-123.52%",0,"601.9","0.00%","1,599.30","1,690.30",NA,"6/1/16","Yes",-14.714,11.94,NA,0.0110593017692009,14.2
"62","6/30/16","7/22/16",NA,"TPI Composites Inc","Turbine and Turbine Generator Set Units Manufacturing","United States","TPIC","Nasdaq","68.75",68.8,11,"Common Shares","150","Yes",NA,"JP Morgan",4,NA,NA,NA,NA,585.85,"?",41.75,-5.74,"-0.98%",84.5,"352.6","23.96%","292","371.1",3.25,"7/22/16","Yes",62.27,17.85,NA,0.0439211856630124,12.02
"63","3/31/16","8/11/16",NA,"Airgain Inc","Wireless Telecommunications Carriers (Except Satellite)","United States","AIRG","Nasdaq","12",12,8,"Common Shares","17.3","Yes",NA,"Northland Capital Markets",0,NA,NA,NA,NA,27.793,"4.035",11.975,-0.27,"-0.97%",0.3469,"13.6","2.55%","45.9","57.9",NA,"8/11/16","Yes",104.13,16.33,NA,0.0172132917033723,11.68
"64","6/30/16","9/15/16",NA,"Everbridge Inc","Computer Systems Design Services","United States","EVBG","Nasdaq","90",90,12,"Common Shares","","Yes",NA,"Credit Suisse",1,NA,NA,NA,NA,38.93,"25.925",49.718,-10.824,"-27.80%",1.255,"48.9","2.57%","248.1","323.1",NA,"9/15/16","Yes",49.58,17.95,NA,-0.012295870407088,16.299999
"65","7/31/14","9/29/16",NA,"Nutanix Inc","Software Publishers","United States","NTNX","Nasdaq","237.92",237.9,16,"Class A Shares","200","Yes",NA,"Goldman Sachs",3,NA,NA,NA,NA,241.432,"73.51",259.328,-126.127,"-52.24%",0,"119","0.00%","1,958.50","2,232.10",NA,"9/29/16","Yes",17.31,18.77,NA,-0.0152293899082569,14.02
"66","6/30/16","10/7/16",NA,"EverSpin Technologies","Mnfr memory,sensors","United States","MRAM","Nasdaq","40",40,8,"Common Shares","","Yes",NA,"Stifel",1,NA,NA,NA,NA,26.546,"3.823",31.514,-17.536,"-66.06%",9.046,"13.7","66.03%","51.3","91.3",NA,"10/7/16","Yes",6.25,8.5,NA,-0.0181270357090323,13.48
"67","9/25/16","10/27/16",NA,"Quantenna Communications Inc","Internet Service Providers","United States","QTNA","Nasdaq","107.2",107.2,16,"Common Shares","100","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,83.733,"6.644",47.431,-70.45,"-84.14%",10.069,"55.1","18.27%","401.2","524.5",NA,"10/27/16","Yes",9.624,17.54,NA,-0.0111333159626423,15.36
"68","9/30/15","4/5/17",NA,"Elevate Credit Inc","Miscellaneous Financial Investment Activities","United States","ELVT","New York","80.6",80.6,6.5,"Common Shares","","Yes",NA,"UBS",3,NA,NA,NA,NA,300.306,"5.878",84.612,-20.155,"-6.71%",174.8,"337.8","51.75%","176.1","268.8",NA,"4/5/17","Yes",-6.77,6.06,NA,-0.0123259766678648,12.89
